first_name,last_name,birth_date,full_name
theo,greene,1995-12-26,theo greene
miles,brussino,1993-02-01,miles brussino
ayres,bortolani,1969-01-20,ayres bortolani
kadoshnikov,christmas,1993-08-10,kadoshnikov christmas
rashawn,de,1989-08-30,rashawn de
damian,roll,1982-12-09,damian roll
kurucs,humphrey,1990-08-20,kurucs humphrey
adams,dejean-jones,1993-12-23,adams dejean-jones
micov,elie,1984-06-04,micov elie
youssou,mercer,1986-01-01,youssou mercer
sakho,benjamin,1990-04-22,sakho benjamin
pascolo,palsson,1984-02-07,pascolo palsson
mcadoo,black,1984-07-07,mcadoo black
zendon,rivero,1994-11-01,zendon rivero
aldemir,kalaitzakis,1988-06-16,aldemir kalaitzakis
fedor,sy,1994-12-13,fedor sy
gabas,mihm,1995-11-02,gabas mihm
laquintana,wooten,1986-02-24,laquintana wooten
nedovic,maxey,1997-02-03,nedovic maxey
demarre,caloiaro,1995-06-13,demarre caloiaro
zivanovic,pangos,2000-01-16,zivanovic pangos
vuk,niang,1990-03-02,vuk niang
vashil,emchenko,1991-09-17,vashil emchenko
zaytsev,bhullar,2000-03-21,zaytsev bhullar
ndiaye,michineau,1995-12-29,ndiaye michineau
mehmet,cook,1987-01-16,mehmet cook
pittman,pierre,1996-10-06,pittman pierre
vinny,hines,1995-02-18,vinny hines
poska,salin,1981-03-13,poska salin
dequan,brnovic,1992-12-26,dequan brnovic
mottola,omot,1989-01-18,mottola omot
strawberry,hite,1985-01-31,strawberry hite
rafael,selby,2001-01-20,rafael selby
valiev,gordic,2001-04-02,valiev gordic
capela,ezeli,1996-04-12,capela ezeli
dowdell,uzoh,1990-03-07,dowdell uzoh
hiram,harden,1996-10-18,hiram harden
devaughn,schrempf,1994-04-10,devaughn schrempf
omer can,vujacic,1987-07-30,omer can vujacic
sosa,puerto,1982-10-05,sosa puerto
arnett,marble,1988-05-05,arnett marble
edo,beliauskas,1989-04-19,edo beliauskas
alexis,macura,1980-08-02,alexis macura
sahar,beiran,1996-10-24,sahar beiran
tamar,szczerbiak,1970-10-02,tamar szczerbiak
olumide,sergeev,1986-04-18,olumide sergeev
powell,kuzminskas,1991-05-07,powell kuzminskas
per,bayless,1992-07-11,per bayless
siva,jean-charles,1994-02-25,siva jean-charles
al,garuba,1982-07-10,al garuba
markieff,kidd-gilchrist,1991-10-11,markieff kidd-gilchrist
donkor,borchardt,1989-06-17,donkor borchardt
patrick,gabriel,1995-10-18,patrick gabriel
miller,wojciechowski,1988-12-28,miller wojciechowski
calderon,laquintana,1992-10-17,calderon laquintana
harris,melton,1980-03-22,harris melton
milt,hansen,1980-04-30,milt hansen
khalifa,torres,1984-10-21,khalifa torres
collin,cannady,2002-09-07,collin cannady
vlade,sharma,1992-06-30,vlade sharma
elton,bagaric,1979-10-01,elton bagaric
fab,zakharov,1979-07-08,fab zakharov
norvel,donda,1999-12-17,norvel donda
ike,maronka,1982-12-04,ike maronka
ed,czyz,1997-01-02,ed czyz
mantzoukas,shittu,1986-06-10,mantzoukas shittu
eddy,sakho,2001-01-02,eddy sakho
khalid,madsen,1992-10-17,khalid madsen
fletcher,kravic,1984-01-30,fletcher kravic
vitali,wes,1993-06-15,vitali wes
tolga,konate,2000-11-22,tolga konate
grant,joe,1985-02-22,grant joe
simmons,felder,1979-07-12,simmons felder
armoni,mcdermott,1994-09-14,armoni mcdermott
marcelo,mccalebb,1990-01-07,marcelo mccalebb
valerio,kraag,1989-05-14,valerio kraag
mcclintock,magloire,1987-05-13,mcclintock magloire
artest,whaley,1999-04-03,artest whaley
hite,bochoridis,2002-10-29,hite bochoridis
satoransky,jack,1982-04-11,satoransky jack
splitter,jerrett,1980-03-05,splitter jerrett
washington,penberthy,1979-08-22,washington penberthy
immanuel,kuzma,1990-11-23,immanuel kuzma
jameer,fevrier,1995-10-02,jameer fevrier
thaddeus,teodosic,1989-03-06,thaddeus teodosic
dary-sagnes,blue,2000-12-10,dary-sagnes blue
caicedo,handlogten,1998-02-12,caicedo handlogten
hamed,gates,1991-10-29,hamed gates
kleiza,maric,1996-03-15,kleiza maric
ondrej,randle,1992-08-26,ondrej randle
giampaolo,taylor,1985-12-24,giampaolo taylor
clarke,cross,1993-03-13,clarke cross
doncic,mathiang,1981-11-26,doncic mathiang
chappell,kukoc,1994-07-28,chappell kukoc
tobey,candi,2003-06-10,tobey candi
lavor,haislip,1996-03-05,lavor haislip
lopatin,wallace,1984-05-10,lopatin wallace
alonso,blazic,1989-02-26,alonso blazic
miller-mcintyre,stoudamire,1990-10-31,miller-mcintyre stoudamire
bairstow,barros,1992-05-12,bairstow barros
hector,jekiri,1982-02-11,hector jekiri
garlon,fowlkes,1996-12-07,garlon fowlkes
fabricio,kahudi,1991-10-09,fabricio kahudi
edgar,pecchia,1998-09-19,edgar pecchia
leon,happ,2002-07-16,leon happ
cervi,huestis,1983-03-01,cervi huestis
petrucelli,swift,1985-09-07,petrucelli swift
agravanis,tomic,1992-03-10,agravanis tomic
arvydas,gladness,2001-03-16,arvydas gladness
fevrier,vaught,1976-07-16,fevrier vaught
troy,floyd,1983-08-13,troy floyd
maye,smits,1977-10-29,maye smits
ricky,yarbrough,1990-02-02,ricky yarbrough
juan pablo,lillard,1988-12-10,juan pablo lillard
adrien,eric,1979-01-28,adrien eric
divac,creek,1999-08-28,divac creek
daquan,poeta,1986-12-18,daquan poeta
craft,cline,2003-09-04,craft cline
zanotti,abalde,1994-05-14,zanotti abalde
omari,meindl,1980-06-09,omari meindl
ledo,dary-sagnes,1988-04-13,ledo dary-sagnes
darington,lecque,1987-05-11,darington lecque
pavlovic,pope,1997-03-04,pavlovic pope
landers,akyazili,1986-02-04,landers akyazili
clark,hearn,2002-08-30,clark hearn
osas,motovilov,1987-06-27,osas motovilov
mickell,ginat,1979-01-27,mickell ginat
dalibor,barrera,1991-11-28,dalibor barrera
pj,ruffin,1980-10-07,pj ruffin
semen,morse,1997-11-06,semen morse
eddie,siva,1990-05-05,eddie siva
davidson,ndoye,1991-07-08,davidson ndoye
devontae,motos,2001-01-12,devontae motos
perkins,bitadze,1993-02-26,perkins bitadze
reed,isaac,1988-08-20,reed isaac
hasheem,della,1995-03-12,hasheem della
darvin,hammonds,1989-01-05,darvin hammonds
kalin,watanabe,1992-01-20,kalin watanabe
terrel,mccarty,1992-10-03,terrel mccarty
stoudemire,wanamaker,1989-08-17,stoudemire wanamaker
carrington,sloan,1992-11-23,carrington sloan
dixon,teague,1972-06-30,dixon teague
levi,outlaw,2000-09-15,levi outlaw
casarin,luwawu-cabarrot,1988-08-13,casarin luwawu-cabarrot
kyrie,dowdell,2002-04-01,kyrie dowdell
adrian,janning,2000-12-12,adrian janning
sulejmanovic,kalinic,2001-12-24,sulejmanovic kalinic
jon,caglio,1995-08-22,jon caglio
ridvan,labissiere,1989-06-08,ridvan labissiere
demahis ballou,horton-tucker,1990-06-03,demahis ballou horton-tucker
hobson,o'neale,1996-01-26,hobson o'neale
darrell,woodard,1991-08-24,darrell woodard
diaw,anigbogu,1997-11-18,diaw anigbogu
dale,buechler,1997-08-15,dale buechler
kuzminskas,ventura,1999-07-04,kuzminskas ventura
rok,pittman,1992-08-18,rok pittman
cat,cheaney,1984-04-21,cat cheaney
aleksandar,love,1988-06-17,aleksandar love
adiguzel,auguste,1995-04-27,adiguzel auguste
zan,brissett,1991-12-03,zan brissett
bogdan,joesaar,1983-10-09,bogdan joesaar
harvey,miranda,1993-01-11,harvey miranda
sehovic,henson,2001-09-09,sehovic henson
baez,mejri,1990-08-14,baez mejri
peyton,ozmizrak,2000-11-25,peyton ozmizrak
augustine,elleby,1992-06-12,augustine elleby
hansbrough,davis,1982-05-25,hansbrough davis
rudez,mills,1992-11-16,rudez mills
fischer,beech,1979-11-27,fischer beech
wesley,darling,1992-08-18,wesley darling
ponkrashov,cauley-stein,1994-05-30,ponkrashov cauley-stein
garino,cinciarini,1989-04-08,garino cinciarini
kidd,avramovic,1992-10-03,kidd avramovic
evangelos,bledsoe,1989-02-14,evangelos bledsoe
